Kategori,Alt Kategori,Kod,İngilizce Açıklama,Tr Açıklama,ICF Gösterim ekranı
b,b1 — Mental Fonksiyonlar — Mental Functions,b110,Consciousness functions,Bilinç fonksiyonları  ,b110 — Consciousness functions — Bilinç fonksiyonları  
b,b1 — Mental Fonksiyonlar — Mental Functions,b114,Orientation functions,Yönelim fonksiyonları  ,b114 — Orientation functions — Yönelim fonksiyonları  
b,b1 — Mental Fonksiyonlar — Mental Functions,b117,Intellectual functions,Zihinsel işlevler  ,b117 — Intellectual functions — Zihinsel (entelektüel) fonksiyonlar  
b,b1 — Mental Fonksiyonlar — Mental Functions,b122,Global psychosocial functions,Genel psikososyal fonksiyonlar  ,b122 — Global psychosocial functions — Genel psikososyal fonksiyonlar  
b,b1 — Mental Fonksiyonlar — Mental Functions,b126,Temperament and personality functions,Mizaç ve kişilik fonksiyonları  ,b126 — Temperament and personality functions — Mizaç ve kişilik fonksiyonları  
b,b1 — Mental Fonksiyonlar — Mental Functions,b130,Energy and drive functions,Enerji ve güdü fonksiyonları  ,b130 — Energy and drive functions — Enerji ve güdü (istek) fonksiyonları  
b,b1 — Mental Fonksiyonlar — Mental Functions,b134,Sleep functions,Uyku fonksiyonları  ,b134 — Sleep functions — Uyku fonksiyonları  
b,b1 — Mental Fonksiyonlar — Mental Functions,b140,Attention functions,Dikkat fonksiyonları  ,b140 — Attention functions — Dikkat fonksiyonları  
b,b1 — Mental Fonksiyonlar — Mental Functions,b144,Memory functions,Hafıza fonksiyonları  ,b144 — Memory functions — Hafıza fonksiyonları  
b,b1 — Mental Fonksiyonlar — Mental Functions,b147,Psychomotor functions,Psikomotor fonksiyonlar  ,b147 — Psychomotor functions — Psikomotor fonksiyonlar  
b,b1 — Mental Fonksiyonlar — Mental Functions,b152,Emotional functions,Duygusal fonksiyonlar  ,b152 — Emotional functions — Duygusal fonksiyonlar  
b,b1 — Mental Fonksiyonlar — Mental Functions,b156,Perceptual functions,Algısal fonksiyonlar  ,b156 — Perceptual functions — Algı fonksiyonları  
b,b1 — Mental Fonksiyonlar — Mental Functions,b160,Thought functions,Düşünme işlevleri  ,b160 — Thought functions — Düşünce fonksiyonları  
b,b1 — Mental Fonksiyonlar — Mental Functions,b164,Higher-level cognitive functions,Üst düzey bilişsel işlevler  ,b164 — Higher-level cognitive functions — Üst düzey bilişsel fonksiyonlar  
b,b1 — Mental Fonksiyonlar — Mental Functions,b167,Mental functions of language,Dil ile ilgili zihinsel işlevler  ,b167 — Mental functions of language — Dilin zihinsel fonksiyonları  
b,b1 — Mental Fonksiyonlar — Mental Functions,b172,Calculation functions,Hesaplama işlevleri  ,b172 — Calculation functions — Hesaplama fonksiyonları  
b,b1 — Mental Fonksiyonlar — Mental Functions,b176,Mental functions of sequencing complex movements,Karmaşık hareket dizilerini sıralama ile ilgili zihinsel fonksiyonlar,b176 — Mental functions of sequencing complex movements — Karmaşık hareketleri sıralama ile ilgili zihinsel fonksiyonlar  
b,b1 — Mental Fonksiyonlar — Mental Functions,b180,Experience of self and time functions,Benlik ve zaman algısıyla ilgili zihinsel fonksiyonlar,b180 — Experience of self and time functions — Benlik ve zaman algısı fonksiyonları  
b,b2 — Duyusal Fonksiyonlar ve Ağrı — Sensory Functions and Pain,b210,Seeing functions,Görme fonksiyonları,b210 — Seeing functions — Görme fonksiyonları  
b,b2 — Duyusal Fonksiyonlar ve Ağrı — Sensory Functions and Pain,b215,Functions of structures adjoining the eye,Gözle ilişkili yapıların fonksiyonları,b215 — Functions of structures adjoining the eye — Göze komşu yapıların fonksiyonları  
b,b2 — Duyusal Fonksiyonlar ve Ağrı — Sensory Functions and Pain,b220,Sensations associated with the eye and adjoining structures,Göz ve ilişkili yapılarla ilişkili duyumlar,b220 — Sensations associated with the eye and adjoining structures — Göz ve çevresindeki yapılarla ilişkili duyular  
b,b2 — Duyusal Fonksiyonlar ve Ağrı — Sensory Functions and Pain,b225,Visual acuity functions,Görsel keskinlik (görme netliği) fonksiyonları,b225 — Visual acuity functions — Görme keskinliği fonksiyonları  
b,b2 — Duyusal Fonksiyonlar ve Ağrı — Sensory Functions and Pain,b230,Hearing functions,Ses işitme işlevleri  ,b230 — Hearing functions — İşitme fonksiyonları  
b,b2 — Duyusal Fonksiyonlar ve Ağrı — Sensory Functions and Pain,b235,Vestibular functions,Vestibüler işlevler  ,b235 — Vestibular functions — Vestibüler (dengeyle ilgili) fonksiyonlar  
b,b2 — Duyusal Fonksiyonlar ve Ağrı — Sensory Functions and Pain,b240,Sensations associated with hearing and vestibular function,İşitme ve denge (vestibüler) fonksiyonlarıyla ilişkili duyumlar,b240 — Sensations associated with hearing and vestibular function — İşitme ve denge fonksiyonlarıyla ilişkili duyular  
